text,imageURN,folioReference
urn:cts:greekLit:tlg5026.e3late.hmt:8.34,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.3869,0.2915,0.0171,0.0184",urn:cite:hmt:e3.98v
urn:cts:greekLit:tlg5026.e3late.hmt:8.35,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.4,0.4942,0.022,0.0189",urn:cite:hmt:e3.98v
urn:cts:greekLit:tlg5026.e3late.hmt:8.36,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.414,0.5932,0.012,0.0159",urn:cite:hmt:e3.98v
urn:cts:greekLit:tlg5026.e3late.hmt:8.45,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.6974,0.2563,0.0191,0.024",urn:cite:hmt:e3.99r
urn:cts:greekLit:tlg5026.e3late.hmt:8.46,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.5409,0.4754,0.0117,0.0159",urn:cite:hmt:e3.99r
urn:cts:greekLit:tlg5026.e3late.hmt:8.61,"urn:cite:hmt:e3bifolio.E3_99v_100r@0.32,0.5941,0.0137,0.0189",urn:cite:hmt:e3.99v
urn:cts:greekLit:tlg5026.e3late.hmt:8.85,"urn:cite:hmt:e3bifolio.E3_100v_101r@0.3431,0.5495,0.0146,0.0163",urn:cite:hmt:e3.100v
urn:cts:greekLit:tlg5026.e3late.hmt:8.101,"urn:cite:hmt:e3bifolio.E3_100v_101r@0.542,0.4711,0.016,0.0184",urn:cite:hmt:e3.101r
urn:cts:greekLit:tlg5026.e3late.hmt:8.102,"urn:cite:hmt:e3bifolio.E3_100v_101r@0.62,0.5452,0.0077,0.0141",urn:cite:hmt:e3.101r
urn:cts:greekLit:tlg5026.e3late.hmt:8.112,"urn:cite:hmt:e3bifolio.E3_101v_102r@0.3635,0.2612,0.1173,0.0307",urn:cite:hmt:e3.101v
urn:cts:greekLit:tlg5026.e3late.hmt:8.113,"urn:cite:hmt:e3bifolio.E3_101v_102r@0.338,0.4983,0.1365,0.0261",urn:cite:hmt:e3.101v
urn:cts:greekLit:tlg5026.e3late.hmt:8.114,"urn:cite:hmt:e3bifolio.E3_101v_102r@0.3105,0.5701,0.0203,0.0187",urn:cite:hmt:e3.101v
urn:cts:greekLit:tlg5026.e3late.hmt:8.132,"urn:cite:hmt:e3bifolio.E3_101v_102r@0.5515,0.301,0.0263,0.0228",urn:cite:hmt:e3.102r
urn:cts:greekLit:tlg5026.e3late.hmt:8.133,"urn:cite:hmt:e3bifolio.E3_101v_102r@0.6515,0.3462,0.0305,0.0195",urn:cite:hmt:e3.102r
urn:cts:greekLit:tlg5026.e3late.hmt:8.134,"urn:cite:hmt:e3bifolio.E3_101v_102r@0.6173,0.5153,0.0245,0.0236",urn:cite:hmt:e3.102r
urn:cts:greekLit:tlg5026.e3late.hmt:8.135,"urn:cite:hmt:e3bifolio.E3_101v_102r@0.585,0.6808,0.034,0.0253",urn:cite:hmt:e3.102r
urn:cts:greekLit:tlg5026.e3late.hmt:8.161,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.3085,0.2881,0.037,0.0203",urn:cite:hmt:e3.102v
urn:cts:greekLit:tlg5026.e3late.hmt:8.162,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.3885,0.4085,0.0753,0.0233",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.163,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.3655,0.4302,0.1053,0.0203",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.164,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.4133,0.5131,0.0548,0.0214",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.165,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.4353,0.5473,0.025,0.0199",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.166,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.2695,0.6148,0.018,0.024",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.182,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.5575,0.3725,0.0245,0.0199",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.183,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.635,0.3747,0.0185,0.018",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.184,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.5848,0.6463,0.0753,0.0323",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.185,"urn:cite:hmt:e3bifolio.E3_102v_103r@0.5327,0.6767,0.0105,0.015",urn:cite:hmt:e3.103r
urn:cts:greekLit:tlg5026.e3late.hmt:8.198,"urn:cite:hmt:e3bifolio.E3_103v_104r@0.3631,0.2598,0.0163,0.0201",urn:cite:hmt:e3.103v
urn:cts:greekLit:tlg5026.e3late.hmt:8.199,"urn:cite:hmt:e3bifolio.E3_103v_104r@0.4517,0.5165,0.0314,0.0197",urn:cite:hmt:e3.103v
urn:cts:greekLit:tlg5026.e3late.hmt:8.200,"urn:cite:hmt:e3bifolio.E3_103v_104r@0.358,0.5692,0.1474,0.0399",urn:cite:hmt:e3.103v
urn:cts:greekLit:tlg5026.e3late.hmt:8.201,"urn:cite:hmt:e3bifolio.E3_103v_104r@0.3869,0.6159,0.1103,0.0266",urn:cite:hmt:e3.103v
urn:cts:greekLit:tlg5026.e3late.hmt:8.221,"urn:cite:hmt:e3bifolio.E3_104v_105r@0.3723,0.3468,0.0643,0.0227",urn:cite:hmt:e3.104v
urn:cts:greekLit:tlg5026.e3late.hmt:8.222,"urn:cite:hmt:e3bifolio.E3_104v_105r@0.3291,0.3652,0.0706,0.0219",urn:cite:hmt:e3.104v
urn:cts:greekLit:tlg5026.e3late.hmt:8.223,"urn:cite:hmt:e3bifolio.E3_104v_105r@0.4469,0.6387,0.0183,0.018",urn:cite:hmt:e3.104v
urn:cts:greekLit:tlg5026.e3late.hmt:8.243,"urn:cite:hmt:e3bifolio.E3_104v_105r@0.6149,0.4411,0.0226,0.0193",urn:cite:hmt:e3.105r
urn:cts:greekLit:tlg5026.e3late.hmt:8.244,"urn:cite:hmt:e3bifolio.E3_104v_105r@0.5234,0.5281,0.016,0.0176",urn:cite:hmt:e3.105r
urn:cts:greekLit:tlg5026.e3late.hmt:8.245,"urn:cite:hmt:e3bifolio.E3_104v_105r@0.5677,0.5769,0.106,0.0223",urn:cite:hmt:e3.105r
urn:cts:greekLit:tlg5026.e3late.hmt:8.246,"urn:cite:hmt:e3bifolio.E3_104v_105r@0.6851,0.5748,0.0477,0.024",urn:cite:hmt:e3.105r
urn:cts:greekLit:tlg5026.e3late.hmt:8.265,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.3337,0.2546,0.0077,0.0129",urn:cite:hmt:e3.105v
urn:cts:greekLit:tlg5026.e3late.hmt:8.266,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.266,0.2859,0.0083,0.0124",urn:cite:hmt:e3.105v
urn:cts:greekLit:tlg5026.e3late.hmt:8.267,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.2866,0.2876,0.0149,0.0184",urn:cite:hmt:e3.105v
urn:cts:greekLit:tlg5026.e3late.hmt:8.268,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.3631,0.4423,0.07,0.0219",urn:cite:hmt:e3.105v
urn:cts:greekLit:tlg5026.e3late.hmt:8.269,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.4237,0.5319,0.0223,0.0159",urn:cite:hmt:e3.105v
urn:cts:greekLit:tlg5026.e3late.hmt:8.270,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.3631,0.5649,0.0183,0.018",urn:cite:hmt:e3.105v
urn:cts:greekLit:tlg5026.e3late.hmt:8.287,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.5686,0.3455,0.0231,0.0201",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.288,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.5917,0.3969,0.0446,0.0231",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.289,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.522,0.4286,0.0229,0.0201",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.290,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.5854,0.4501,0.0349,0.021",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.291,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.7166,0.4526,0.0191,0.021",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.292,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.6111,0.4668,0.0106,0.0197",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.293,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.6111,0.4668,0.0106,0.0197",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.294,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.6194,0.5345,0.0263,0.0193",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.295,"urn:cite:hmt:e3bifolio.E3_105v_106r@0.6197,0.5688,0.0951,0.0253",urn:cite:hmt:e3.106r
urn:cts:greekLit:tlg5026.e3late.hmt:8.312,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.4226,0.3146,0.0211,0.0184",urn:cite:hmt:e3.106v
urn:cts:greekLit:tlg5026.e3late.hmt:8.313,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.4283,0.3853,0.0211,0.0184",urn:cite:hmt:e3.106v
urn:cts:greekLit:tlg5026.e3late.hmt:8.314,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.4874,0.5718,0.018,0.0176",urn:cite:hmt:e3.106v
urn:cts:greekLit:tlg5026.e3late.hmt:8.315,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.4183,0.5889,0.0386,0.0223",urn:cite:hmt:e3.106v
urn:cts:greekLit:tlg5026.e3late.hmt:8.332,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6969,0.2452,0.0174,0.0171",urn:cite:hmt:e3.107r
urn:cts:greekLit:tlg5026.e3late.hmt:8.333,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6066,0.3,0.1383,0.018",urn:cite:hmt:e3.107r
urn:cts:greekLit:tlg5026.e3late.hmt:8.334,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6989,0.3142,0.0149,0.0201",urn:cite:hmt:e3.107r
urn:cts:greekLit:tlg5026.e3late.hmt:8.335,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.656,0.333,0.1029,0.021",urn:cite:hmt:e3.107r
urn:cts:greekLit:tlg5026.e3late.hmt:8.336,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6189,0.3828,0.0594,0.0189",urn:cite:hmt:e3.107r
urn:cts:greekLit:tlg5026.e3late.hmt:8.337,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6957,0.4201,0.0114,0.0167",urn:cite:hmt:e3.107r
urn:cts:greekLit:tlg5026.e3late.hmt:8.338,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6857,0.5216,0.016,0.0184",urn:cite:hmt:e3.107r
urn:cts:greekLit:tlg5026.e3late.hmt:8.339,"urn:cite:hmt:e3bifolio.E3_106v_107r@0.6134,0.6009,0.1217,0.0253",urn:cite:hmt:e3.107r
urn:cts:greekLit:tlg5026.e3late.hmt:8.357,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.2789,0.3275,0.0917,0.0197",urn:cite:hmt:e3.107v
urn:cts:greekLit:tlg5026.e3late.hmt:8.358,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.3091,0.4295,0.0714,0.0193",urn:cite:hmt:e3.107v
urn:cts:greekLit:tlg5026.e3late.hmt:8.359,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.4189,0.5058,0.06,0.0244",urn:cite:hmt:e3.107v
urn:cts:greekLit:tlg5026.e3late.hmt:8.360,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.4134,0.5414,0.0737,0.0193",urn:cite:hmt:e3.107v
urn:cts:greekLit:tlg5026.e3late.hmt:8.361,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.358,0.6151,0.0203,0.0171",urn:cite:hmt:e3.107v
urn:cts:greekLit:tlg5026.e3late.hmt:8.362,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.3071,0.6275,0.2006,0.0669",urn:cite:hmt:e3.107v
urn:cts:greekLit:tlg5026.e3late.hmt:8.377,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.6394,0.4505,0.0157,0.0184",urn:cite:hmt:e3.108r
urn:cts:greekLit:tlg5026.e3late.hmt:8.378,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.5763,0.4814,0.096,0.021",urn:cite:hmt:e3.108r
urn:cts:greekLit:tlg5026.e3late.hmt:8.379,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.622,0.5002,0.0886,0.0193",urn:cite:hmt:e3.108r
urn:cts:greekLit:tlg5026.e3late.hmt:8.380,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.6094,0.5654,0.0109,0.018",urn:cite:hmt:e3.108r
urn:cts:greekLit:tlg5026.e3late.hmt:8.381,"urn:cite:hmt:e3bifolio.E3_107v_108r@0.6406,0.5649,0.1257,0.0446",urn:cite:hmt:e3.108r
urn:cts:greekLit:tlg5026.e3late.hmt:8.395,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.2669,0.2036,0.106,0.0296",urn:cite:hmt:e3.108v
urn:cts:greekLit:tlg5026.e3late.hmt:8.396,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.3517,0.2692,0.0131,0.0193",urn:cite:hmt:e3.108v
urn:cts:greekLit:tlg5026.e3late.hmt:8.397,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.2546,0.3669,0.0143,0.018",urn:cite:hmt:e3.108v
urn:cts:greekLit:tlg5026.e3late.hmt:8.398,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.2503,0.3811,0.1749,0.0274",urn:cite:hmt:e3.108v
urn:cts:greekLit:tlg5026.e3late.hmt:8.399,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.2471,0.4372,0.0129,0.0154",urn:cite:hmt:e3.108v
urn:cts:greekLit:tlg5026.e3late.hmt:8.400,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.3237,0.5568,0.0306,0.0171",urn:cite:hmt:e3.108v
urn:cts:greekLit:tlg5026.e3late.hmt:8.401,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.2717,0.5675,0.06,0.0223",urn:cite:hmt:e3.108v
urn:cts:greekLit:tlg5026.e3late.hmt:8.402,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.3594,0.6052,0.0111,0.0171",urn:cite:hmt:e3.108v
urn:cts:greekLit:tlg5026.e3late.hmt:8.417,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.5443,0.2362,0.134,0.0223",urn:cite:hmt:e3.109r
urn:cts:greekLit:tlg5026.e3late.hmt:8.418,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.5526,0.3395,0.0534,0.0197",urn:cite:hmt:e3.109r
urn:cts:greekLit:tlg5026.e3late.hmt:8.419,"urn:cite:hmt:e3bifolio.E3_108v_109r@0.5934,0.5444,0.0123,0.0184",urn:cite:hmt:e3.109r
